,season,team,identifier,name,unique_name,key_cricinfo,batting_style,player_type,bowling_style
1414,2016,Delhi Daredevils,372455c4,Q de Kock,Q de Kock,379143,Left hand Bat,Wicketkeeper Batter,NA
1415,2016,Delhi Daredevils,85ec8e33,SS Iyer,SS Iyer,642519,Right hand Bat,Top order Batter,"Right arm Offbreak, Legbreak Googly"
1416,2016,Delhi Daredevils,944533a5,KK Nair,KK Nair,398439,Right hand Bat,Top order Batter,Right arm Offbreak
1417,2016,Delhi Daredevils,a4cc73aa,SV Samson,SV Samson,425943,Right hand Bat,Wicketkeeper Batter,NA
1418,2016,Delhi Daredevils,f62772e5,P Negi,P Negi,530773,Left hand Bat,Bowler,Slow Left arm Orthodox
1419,2016,Delhi Daredevils,e342e5fb,CR Brathwaite,CR Brathwaite,457249,Right hand Bat,Allrounder,Right arm Fast medium
1420,2016,Delhi Daredevils,fb66ce1f,CH Morris,CH Morris,439952,Right hand Bat,Bowling Allrounder,Right arm Fast medium
1421,2016,Delhi Daredevils,56ab442f,NM Coulter-Nile,NM Coulter-Nile,261354,Right hand Bat,Bowling Allrounder,Right arm Fast
1422,2016,Delhi Daredevils,6b19d823,A Mishra,A Mishra,31107,Right hand Bat,Bowler,Legbreak
1423,2016,Delhi Daredevils,91a4a398,Z Khan,Z Khan,30102,Right hand Bat,Bowler,Left arm Fast medium
1424,2016,Kolkata Knight Riders,1c17e270,RV Uthappa,RV Uthappa,35582,Right hand Bat,Batter,Right arm Medium
1425,2016,Kolkata Knight Riders,bb345e0b,G Gambhir,G Gambhir,28763,Left hand Bat,Top order Batter,Legbreak
1426,2016,Kolkata Knight Riders,93b4fc78,MK Pandey,MK Pandey,290630,Right hand Bat,Top order Batter,Right arm Medium
1427,2016,Kolkata Knight Riders,af2c687b,C Munro,C Munro,232359,Left hand Bat,Opening Batter,Right arm Medium fast
1428,2016,Kolkata Knight Riders,271f83cd,SA Yadav,SA Yadav,446507,Right hand Bat,Batter,"Right arm Medium, Right arm Offbreak"
1429,2016,Kolkata Knight Riders,3c6ffae8,YK Pathan,YK Pathan,32498,Right hand Bat,Allrounder,Right arm Offbreak
1430,2016,Kolkata Knight Riders,bbd41817,AD Russell,AD Russell,276298,Right hand Bat,Allrounder,Right arm Fast
1431,2016,Kolkata Knight Riders,98ae73b1,PP Chawla,PP Chawla,32966,Left hand Bat,Bowling Allrounder,Legbreak
1432,2016,Kolkata Knight Riders,012829ff,JW Hastings,JW Hastings,228622,Right hand Bat,Allrounder,Right arm Fast medium
1433,2016,Kolkata Knight Riders,f708a0bc,GB Hogg,GB Hogg,5681,Left hand Bat,Allrounder,Left arm Wrist spin
1434,2016,Kolkata Knight Riders,cc1e8c68,UT Yadav,UT Yadav,376116,Right hand Bat,Bowler,Right arm Fast
1435,2016,Gujarat Lions,b8d490fd,AJ Finch,AJ Finch,5334,Right hand Bat,Top order Batter,Slow Left arm Orthodox
1436,2016,Gujarat Lions,b8a55852,BB McCullum,BB McCullum,37737,Right hand Bat,Wicketkeeper Batter,NA
1437,2016,Gujarat Lions,1dc12ab9,SK Raina,SK Raina,33335,Left hand Bat,Middle order Batter,Right arm Offbreak
1438,2016,Gujarat Lions,c03f1114,KD Karthik,KD Karthik,30045,Right hand Bat,Wicketkeeper Batter,NA
1439,2016,Gujarat Lions,fe93fd9d,RA Jadeja,RA Jadeja,234675,Left hand Bat,Allrounder,Slow Left arm Orthodox
1440,2016,Gujarat Lions,752f7486,Ishan Kishan,Ishan Kishan,720471,Left hand Bat,Wicketkeeper Batter,NA
1441,2016,Gujarat Lions,87e562a9,DJ Bravo,DJ Bravo,51439,Right hand Bat,Allrounder,Right arm Medium
1442,2016,Gujarat Lions,808f425a,JP Faulkner,JP Faulkner,270484,Right hand Bat,Bowling Allrounder,Left arm Fast medium
1443,2016,Gujarat Lions,e938e1bc,P Kumar,P Kumar,30732,Right hand Bat,Bowler,Right arm Medium
1444,2016,Gujarat Lions,9fc0ef64,PJ Sangwan,PJ Sangwan,279545,Right hand Bat,Bowler,Left arm Medium
1445,2016,Gujarat Lions,fb693839,S Ladda,S Ladda,317292,Right hand Bat,Bowler,Legbreak
1446,2016,Kings XI Punjab,4b57e452,M Vijay,M Vijay,237095,Right hand Bat,Opening Batter,Right arm Offbreak
1447,2016,Kings XI Punjab,c03e2850,M Vohra,M Vohra,532856,Right hand Bat,Opening Batter,Right arm Medium
1448,2016,Kings XI Punjab,d67d5f00,DA Miller,DA Miller,321777,Left hand Bat,Middle order Batter,Right arm Offbreak
1449,2016,Kings XI Punjab,b681e71e,GJ Maxwell,GJ Maxwell,325026,Right hand Bat,Batting Allrounder,Right arm Offbreak
1450,2016,Kings XI Punjab,fe11caa6,WP Saha,WP Saha,279810,Right hand Bat,Wicketkeeper Batter,NA
1451,2016,Kings XI Punjab,d9273ee7,MP Stoinis,MP Stoinis,325012,Right hand Bat,Batting Allrounder,Right arm Medium
1452,2016,Kings XI Punjab,2e171977,AR Patel,AR Patel,554691,Left hand Bat,Bowling Allrounder,Slow Left arm Orthodox
1453,2016,Kings XI Punjab,f5180fe6,MG Johnson,MG Johnson,6033,Left hand Bat,Bowler,Left arm Fast
1454,2016,Kings XI Punjab,9a0146b3,P Sahu,P Sahu,34155,Right hand Bat,Allrounder,Legbreak Googly
1455,2016,Kings XI Punjab,759ac88f,MM Sharma,MM Sharma,537119,Right hand Bat,Bowler,Right arm Medium
1456,2016,Kings XI Punjab,ce820073,Sandeep Sharma,Sandeep Sharma,438362,Right hand Bat,Bowler,Right arm Medium
1457,2016,Royal Challengers Bangalore,db584dad,CH Gayle,CH Gayle,51880,Left hand Bat,Allrounder,Right arm Offbreak
1458,2016,Royal Challengers Bangalore,ba607b88,V Kohli,V Kohli,253802,Right hand Bat,Top order Batter,Right arm Medium
1459,2016,Royal Challengers Bangalore,c4487b84,AB de Villiers,AB de Villiers,44936,Right hand Bat,Wicketkeeper Batter,NA
1460,2016,Royal Challengers Bangalore,4329fbb5,SR Watson,SR Watson,8180,Right hand Bat,Allrounder,Right arm Fast medium
1461,2016,Royal Challengers Bangalore,f088b960,SN Khan,SN Khan,642525,Right hand Bat,Middle order Batter,Legbreak
1462,2016,Royal Challengers Bangalore,99d63244,KM Jadhav,KM Jadhav,290716,Right hand Bat,Batting Allrounder,Right arm Offbreak
1463,2016,Royal Challengers Bangalore,bd17b45f,STR Binny,STR Binny,27223,Right hand Bat,Allrounder,Right arm Medium
1464,2016,Royal Challengers Bangalore,9170ff49,Parvez Rasool,Parvez Rasool,378496,Right hand Bat,Bowling Allrounder,Right arm Offbreak
1465,2016,Royal Challengers Bangalore,f986ca1a,HV Patel,HV Patel,390481,Right hand Bat,Bowler,Right arm Medium
1466,2016,Royal Challengers Bangalore,350bb1b1,AF Milne,AF Milne,450860,Right hand Bat,Bowler,Right arm Fast
1467,2016,Royal Challengers Bangalore,57ee1fde,YS Chahal,YS Chahal,430246,Right hand Bat,Bowler,Legbreak Googly
1468,2016,Sunrisers Hyderabad,dcce6f09,DA Warner,DA Warner,219889,Left hand Bat,Opening Batter,Legbreak
1469,2016,Sunrisers Hyderabad,0a476045,S Dhawan,S Dhawan,28235,Left hand Bat,Opening Batter,Right arm Offbreak
1470,2016,Sunrisers Hyderabad,32198ae0,MC Henriques,MC Henriques,5961,Right hand Bat,Allrounder,Right arm Fast medium
